"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","v2xcl_prpty","v2clprptyw","v2clprptym","v2exl_legitideol","v2exl_legitlead","v2clacjstm","v2clacjstw"
"15265","Ukraine","UKR",100,0.35,0.276,0.237,0.267,0.408,0.903,2.385,1.916,-0.034,0.122,-0.043,0.802
"15499","United Kingdom","GBR",101,0.746,0.744,0.813,0.646,0.876,0.858,1.944,1.678,-1.217,-1.559,1.999,2.192
"15697","Uruguay","URY",102,0.831,0.781,0.818,0.728,0.891,0.885,2.036,1.983,-2.2,-2.151,2.05,2.166
"15820","Algeria","DZA",103,0.219,0.252,0.162,0.116,0.306,0.761,1.262,1.334,1.643,2.112,0.829,0.97
"15943","Angola","AGO",104,0.178,0.151,0.17,0.103,0.366,0.568,0.285,0.811,0.367,0.031,0.144,0.227
"15976","Armenia","ARM",105,0.464,0.45,0.415,0.353,0.536,0.937,2.494,2.396,-1.022,0.98,1.184,1.073
"16009","Azerbaijan","AZE",106,0.05,0.112,0.058,0.061,0.192,0.646,0.861,0.855,0.135,2.153,-0.739,-0.535
"16042","Belarus","BLR",107,0.101,0.275,0.113,0.101,0.255,0.769,1.504,1.158,1.143,2.9,0.213,0.59
"16104","Cameroon","CMR",108,0.107,0.188,0.121,0.11,0.292,0.77,1.51,1.171,0.861,2.96,-0.523,0.034
"16207","Chad","TCD",109,0.134,0.099,0.08,0.133,0.268,0.72,0.399,1.898,-1.011,2.392,-0.985,-0.74
"16441","China","CHN",110,0.127,0.097,0.046,0.042,0.077,0.424,0.632,-0.511,1.675,1.807,-0.453,-0.174
"16564","Democratic Republic of the Congo","COD",111,0.134,0.193,0.122,0.211,0.317,0.236,-1.494,0.144,-1.851,0.271,-0.883,-1.349
"16684","Republic of the Congo","COG",112,0.183,0.123,0.103,0.183,0.247,0.562,1.169,-0.091,-1.686,-1.129,-0.442,-0.968
"16807","Djibouti","DJI",113,0.158,0.178,0.117,0.139,0.256,0.561,0.147,0.951,-0.592,-0.139,0.768,0.312
"17020","Dominican Republic","DOM",114,0.374,0.278,0.294,0.345,0.549,0.843,2.046,1.393,-1.566,0.448,0.617,0.301
"17143","Eritrea","ERI",115,0.02,0.133,0.007,0.009,0.068,0.063,-1.536,-2.112,2.191,1.816,-1.848,-2.144
"17256","Gabon","GAB",116,0.287,0.297,0.217,0.272,0.389,0.747,0.684,1.832,-0.028,0.769,1.734,1.7
"17379","The Gambia","GMB",117,0.384,0.384,0.423,0.349,0.546,0.814,1.376,1.797,-1.191,-1.466,1.524,1.625
"17412","Georgia","GEO",118,0.534,0.551,0.542,0.447,0.68,0.89,1.828,2.253,-1.74,-1.037,1.271,1.431
"17535","Guinea-Bissau","GNB",119,0.237,0.278,0.322,0.228,0.507,0.716,1.021,1.208,-1.132,-0.753,-0.256,-0.119
"17658","Jamaica","JAM",120,0.693,0.635,0.698,0.555,0.812,0.874,2.079,1.759,0.508,0.557,1.042,1.141
"17691","Kazakhstan","KAZ",121,0.094,0.185,0.111,0.08,0.235,0.82,1.847,1.335,-0.085,2.399,0.222,0.234
"17724","Kyrgyzstan","KGZ",122,0.381,0.323,0.341,0.273,0.467,0.837,1.986,1.403,-1.257,-0.852,0.034,0.923
"17847","Laos","LAO",123,0.068,0.112,0.085,0.111,0.127,0.273,-0.43,-0.612,1.451,-0.931,-1.194,-0.97
"17996","Libya","LBY",124,0.243,0.188,0.153,0.168,0.272,0.613,0.965,0.462,-1.244,-1.408,-1.747,-1.692
"18202","Madagascar","MDG",125,0.292,0.237,0.289,0.31,0.494,0.887,1.858,2.175,-2.219,0.563,0.028,-0.118
"18235","Moldova","MDA",126,0.303,0.359,0.401,0.33,0.516,0.935,2.655,2.222,-1.882,-0.971,0.907,1.068
"18358","Namibia","NAM",127,0.521,0.421,0.567,0.425,0.694,0.789,1.298,1.57,0.164,0.579,1.349,0.997
"18416","Palestine/West Bank","PSE",128,0.252,0.265,0.185,0.185,0.277,0.776,1.414,1.36,-1.206,0.066,1.699,1.357
"18523","Rwanda","RWA",129,0.214,0.212,0.125,0.202,0.231,0.309,1.007,-1.772,1.825,2.419,-0.381,0.954
"18646","Somalia","SOM",130,0.157,0.075,0.105,0.082,0.162,0.256,-0.534,-0.65,-1.104,-0.405,-1.276,-1.333
"18769","Sri Lanka","LKA",131,0.435,0.415,0.477,0.378,0.615,0.818,1.166,2.027,-0.959,-1.78,1.205,0.676
"18892","Eswatini","SWZ",132,0.102,0.079,0.113,0.124,0.131,0.157,-1.38,-0.807,3.197,2.349,0.671,-0.311
"18925","Tajikistan","TJK",133,0.038,0.078,0.053,0.052,0.166,0.493,0.549,0.069,1.747,2.079,-1.316,-1.501
"19032","Togo","TGO",134,0.357,0.353,0.242,0.219,0.464,0.8,1.421,1.573,-1.332,0.602,-0.284,0.199
"19155","Trinidad and Tobago","TTO",135,0.673,0.599,0.64,0.483,0.749,0.807,1.573,1.459,-1.476,-1.074,2.042,1.785
"19188","Turkmenistan","TKM",136,0.035,0.079,0.031,0.033,0.15,0.161,-0.927,-1.176,2.634,2.486,-1.927,-1.686
"19265","Palestine/Gaza","PSG",138,0.048,0.169,0.042,0.095,0.119,0.773,1.133,1.612,0.303,-1.818,-0.564,-0.438
"19357","Somaliland","SML",139,0.252,0.174,0.26,0.252,0.413,0.746,1.548,0.94,0.339,-0.771,0.309,0.677
"19522","Uzbekistan","UZB",140,0.188,0.139,0.066,0.058,0.189,0.56,0.836,0.248,0.355,0.484,-0.037,-0.038
"19750","Austria","AUT",144,0.686,0.743,0.754,0.624,0.837,0.95,2.89,2.383,-0.783,-0.985,1.923,2.054
"19873","Bahrain","BHR",146,0.04,0.113,0.044,0.034,0.117,0.69,1.232,0.76,1.354,2.409,-1.184,-1.024
"19996","Barbados","BRB",147,0.661,0.619,0.657,0.334,0.773,0.854,1.961,1.645,0.748,1.083,1.548,1.668
"20196","Belgium","BEL",148,0.799,0.829,0.83,0.639,0.894,0.953,2.971,2.382,-2.376,-2.546,3.351,3.451
