"","country_name","country_text_id","country_id","v2xcs_ccsi","v2x_gencs","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy"
"14764","Syria","SYR",97,0.03,0.455,0.02,0.07,0.027,0.06,0.138
"14998","Tunisia","TUN",98,0.865,0.776,0.664,0.593,0.64,0.494,0.733
"15232","Turkey","TUR",99,0.212,0.278,0.093,0.234,0.112,0.195,0.292
"15265","Ukraine","UKR",100,0.74,0.847,0.35,0.276,0.237,0.267,0.408
"15499","United Kingdom","GBR",101,0.914,0.928,0.746,0.744,0.813,0.646,0.876
"15697","Uruguay","URY",102,0.896,0.859,0.831,0.781,0.818,0.728,0.891
"15820","Algeria","DZA",103,0.29,0.752,0.219,0.252,0.162,0.116,0.306
"15943","Angola","AGO",104,0.406,0.634,0.178,0.151,0.17,0.103,0.366
"15976","Armenia","ARM",105,0.863,0.928,0.464,0.45,0.415,0.353,0.536
"16009","Azerbaijan","AZE",106,0.113,0.583,0.05,0.112,0.058,0.061,0.192
"16042","Belarus","BLR",107,0.322,0.849,0.101,0.275,0.113,0.101,0.255
"16104","Cameroon","CMR",108,0.422,0.608,0.107,0.188,0.121,0.11,0.292
"16207","Chad","TCD",109,0.405,0.547,0.134,0.099,0.08,0.133,0.268
"16441","China","CHN",110,0.106,0.658,0.127,0.097,0.046,0.042,0.077
"16564","Democratic Republic of the Congo","COD",111,0.574,0.589,0.134,0.193,0.122,0.211,0.317
"16684","Republic of the Congo","COG",112,0.167,0.302,0.183,0.123,0.103,0.183,0.247
"16807","Djibouti","DJI",113,0.526,0.333,0.158,0.178,0.117,0.139,0.256
"17020","Dominican Republic","DOM",114,0.9,0.852,0.374,0.278,0.294,0.345,0.549
"17143","Eritrea","ERI",115,0.072,0.173,0.02,0.133,0.007,0.009,0.068
"17256","Gabon","GAB",116,0.828,0.759,0.287,0.297,0.217,0.272,0.389
"17379","The Gambia","GMB",117,0.883,0.731,0.384,0.384,0.423,0.349,0.546
"17412","Georgia","GEO",118,0.924,0.925,0.534,0.551,0.542,0.447,0.68
"17535","Guinea-Bissau","GNB",119,0.693,0.685,0.237,0.278,0.322,0.228,0.507
"17658","Jamaica","JAM",120,0.944,0.913,0.693,0.635,0.698,0.555,0.812
"17691","Kazakhstan","KAZ",121,0.331,0.787,0.094,0.185,0.111,0.08,0.235
"17724","Kyrgyzstan","KGZ",122,0.726,0.798,0.381,0.323,0.341,0.273,0.467
"17847","Laos","LAO",123,0.163,0.33,0.068,0.112,0.085,0.111,0.127
"17996","Libya","LBY",124,0.803,0.213,0.243,0.188,0.153,0.168,0.272
"18202","Madagascar","MDG",125,0.948,0.78,0.292,0.237,0.289,0.31,0.494
"18235","Moldova","MDA",126,0.69,0.89,0.303,0.359,0.401,0.33,0.516
"18358","Namibia","NAM",127,0.923,0.758,0.521,0.421,0.567,0.425,0.694
"18416","Palestine/West Bank","PSE",128,0.677,0.715,0.252,0.265,0.185,0.185,0.277
"18523","Rwanda","RWA",129,0.315,0.714,0.214,0.212,0.125,0.202,0.231
"18646","Somalia","SOM",130,0.481,0.237,0.157,0.075,0.105,0.082,0.162
"18769","Sri Lanka","LKA",131,0.846,0.84,0.435,0.415,0.477,0.378,0.615
"18892","Eswatini","SWZ",132,0.151,0.358,0.102,0.079,0.113,0.124,0.131
"18925","Tajikistan","TJK",133,0.172,0.267,0.038,0.078,0.053,0.052,0.166
"19032","Togo","TGO",134,0.642,0.677,0.357,0.353,0.242,0.219,0.464
"19155","Trinidad and Tobago","TTO",135,0.918,0.881,0.673,0.599,0.64,0.483,0.749
"19188","Turkmenistan","TKM",136,0.025,0.256,0.035,0.079,0.031,0.033,0.15
"19265","Palestine/Gaza","PSG",138,0.269,0.327,0.048,0.169,0.042,0.095,0.119
"19357","Somaliland","SML",139,0.664,0.498,0.252,0.174,0.26,0.252,0.413
"19522","Uzbekistan","UZB",140,0.214,0.522,0.188,0.139,0.066,0.058,0.189
"19750","Austria","AUT",144,0.891,0.89,0.686,0.743,0.754,0.624,0.837
"19873","Bahrain","BHR",146,0.04,0.418,0.04,0.113,0.044,0.034,0.117
